ts,coin,direction,entry,sl,tp,atr,qty
2026-07-24T12:00:00+00:00,SOL,LONG,74.81,73.4352,77.1013,0.4583,68.32225738595179
2026-07-24T14:00:00+00:00,BTC,LONG,64031.9,63011.904,65731.8933,339.9987,0.0759741373293108
2026-07-24T14:00:00+00:00,XRP,LONG,1.0922,1.073,1.1242,0.0064,4690.816065535443
2026-07-25T17:00:00+00:00,ETH,SHORT,1872.29,1892.7625,1838.1691,6.8242,2.733457579137013
2026-07-25T17:00:00+00:00,BNB,SHORT,569.6,575.0302,560.5497,1.8101,9.190840118110764
2026-07-26T14:00:00+00:00,BTC,SHORT,64687.2,65105.0961,63990.7066,139.2987,0.0755741994999724
2026-07-26T14:00:00+00:00,ETH,SHORT,1897.83,1917.2638,1865.4403,6.4779,2.681386504398359
2026-07-26T16:00:00+00:00,ETH,SHORT,1915.51,1940.3654,1874.0844,8.2851,2.6425014502455233
2026-07-26T16:00:00+00:00,SOL,SHORT,75.49,76.501,73.8051,0.337,67.70685476648646
2026-07-26T23:00:00+00:00,BTC,SHORT,65373.9,65946.3711,64419.7815,190.8237,0.07452379899305145
2026-07-26T23:00:00+00:00,ETH,SHORT,1953.79,1984.7882,1902.1263,10.3327,2.5733977966122237
2026-07-26T23:00:00+00:00,SOL,SHORT,76.74,77.9062,74.7963,0.3887,66.1446011561677
2026-07-26T23:00:00+00:00,XRP,SHORT,1.1125,1.1253,1.0912,0.0043,4619.477038530171
2026-07-27T23:00:00+00:00,BTC,LONG,63723.7,62650.8217,65511.8305,357.6261,0.07699641389782437
2026-07-27T23:00:00+00:00,ETH,LONG,1891.43,1840.2311,1976.7614,17.0663,2.6928632193701962
2026-07-27T23:00:00+00:00,SOL,LONG,74.16,72.2433,77.3545,0.6389,69.29902672167053
2026-07-27T23:00:00+00:00,BNB,LONG,566.8,557.9556,581.5406,2.9481,9.190360733036261
2026-07-27T23:00:00+00:00,XRP,LONG,1.0654,1.0428,1.103,0.0075,4868.959351930731
2026-07-30T01:00:00+00:00,BNB,SHORT,576.5,585.1769,562.0385,2.8923,9.111221125928136
2026-07-30T10:00:00+00:00,BNB,SHORT,587.8,597.4427,571.7289,3.2142,8.867015928007394
2026-07-30T15:00:00+00:00,XRP,SHORT,1.0918,1.114,1.0549,0.0074,4777.920247445196
2026-07-31T09:00:00+00:00,BTC,LONG,63689.1,62780.4081,65203.5865,302.8973,0.07733800415747126
2026-07-31T09:00:00+00:00,ETH,LONG,1882.69,1845.9083,1943.9929,12.2606,2.7225986232021073
2026-07-31T14:00:00+00:00,BTC,LONG,62663.8,61601.1906,64434.8157,354.2031,0.07802705202583857
2026-08-01T10:00:00+00:00,BNB,LONG,582.2,573.399,596.8683,2.9337,8.993167581960817
2026-08-01T17:00:00+00:00,SOL,LONG,71.89,70.8391,73.6416,0.3503,71.39099651310144
2026-08-01T17:00:00+00:00,XRP,LONG,1.0585,1.0475,1.0769,0.0037,4993.838864440227
2026-08-01T18:00:00+00:00,ETH,LONG,1836.0,1808.3865,1882.0225,9.2045,2.7640104093272297
2026-08-01T18:00:00+00:00,SOL,LONG,71.05,69.7677,73.1872,0.4274,71.69269872602727
2026-08-01T18:00:00+00:00,XRP,LONG,1.0528,1.0398,1.0744,0.0043,4993.7468755842965
2026-08-02T02:00:00+00:00,XRP,SHORT,1.0755,1.0891,1.0528,0.0045,4937.557393020345
2026-08-02T21:00:00+00:00,SOL,SHORT,73.95,75.0633,72.0946,0.3711,69.90319713816292
2026-08-02T21:00:00+00:00,XRP,SHORT,1.0861,1.0999,1.0631,0.0046,4857.4354355555615
2026-08-03T06:00:00+00:00,BTC,LONG,62594.9,61885.9221,63776.5298,236.326,0.07833342583791154
2026-08-05T03:00:00+00:00,XRP,LONG,1.0671,1.0503,1.095,0.0056,4966.15440889988
2026-08-05T16:00:00+00:00,BTC,SHORT,64631.9,65554.6644,63093.9593,307.5881,0.07656534316154888
2026-08-05T16:00:00+00:00,ETH,SHORT,1894.7,1931.0895,1834.0508,12.1298,2.7114048754476148
2026-08-05T18:00:00+00:00,SOL,SHORT,74.5,75.9134,72.1443,0.4711,69.30756184747709
2026-08-05T22:00:00+00:00,BNB,LONG,594.5,585.5852,609.358,2.9716,8.848444749011625
2026-08-07T04:00:00+00:00,XRP,LONG,1.0199,1.0,1.053,0.0066,5154.140483315006
2026-08-07T12:00:00+00:00,ETH,SHORT,1931.27,1959.8881,1883.5731,9.5394,2.6339808170568833
2026-08-08T04:00:00+00:00,SOL,SHORT,74.6,75.8397,72.5338,0.4132,69.7211886333382
2026-08-08T11:00:00+00:00,BNB,SHORT,597.4,602.2585,589.3025,1.6195,8.794844858002538
2026-08-08T14:00:00+00:00,BTC,SHORT,65100.0,65495.2161,64441.3065,131.7387,0.0759118429033426
2026-08-08T14:00:00+00:00,SOL,SHORT,76.48,77.7178,74.4171,0.4126,67.42852565231547
2026-08-08T14:00:00+00:00,BNB,SHORT,605.1,613.019,591.9017,2.6397,8.645877368070037
2026-08-09T14:00:00+00:00,ETH,SHORT,1924.37,1939.0529,1899.8985,4.8943,2.6529177562837227
2026-08-10T14:00:00+00:00,BTC,LONG,64594.6,63890.1737,65768.6438,234.8088,0.076787523416806
2026-08-10T14:00:00+00:00,ETH,LONG,1892.62,1862.9372,1942.0914,9.8943,2.7140372873387504
2026-08-10T15:00:00+00:00,SOL,LONG,75.94,74.5144,78.316,0.4752,67.34479917748516
2026-08-10T16:00:00+00:00,BTC,LONG,63888.6,63067.0136,65257.9107,273.8621,0.07719729627200018
2026-08-10T16:00:00+00:00,BNB,LONG,600.4,592.59,613.4167,2.6033,8.725498496929484
2026-08-10T16:00:00+00:00,XRP,LONG,1.0181,1.0001,1.048,0.006,5206.255369175511
2026-08-11T12:00:00+00:00,BNB,SHORT,612.4,620.33,599.1834,2.6433,8.645524130626018
2026-08-11T14:00:00+00:00,XRP,LONG,0.994,0.9746,1.0264,0.0065,5284.412533901477
2026-08-11T15:00:00+00:00,ETH,LONG,1862.0,1832.3656,1911.3907,9.8781,2.7364886176865313
2026-08-12T10:00:00+00:00,ETH,SHORT,1908.3,1933.6518,1866.0471,8.4506,2.7049665702253454
2026-08-13T16:00:00+00:00,BTC,LONG,63135.9,62259.777,64596.1051,292.041,0.07784156371530042
2026-08-14T12:00:00+00:00,BNB,LONG,606.3,600.2708,616.3487,2.0097,8.674210515344775
2026-08-14T18:00:00+00:00,SOL,LONG,74.92,73.8492,76.7046,0.3569,68.14915603849937
2026-08-14T22:00:00+00:00,XRP,LONG,0.9921,0.9768,1.0176,0.0051,5335.012288647524
2026-08-16T09:00:00+00:00,BTC,LONG,62957.9,62730.8912,63336.2481,75.6696,0.07800295161046575
2026-08-16T16:00:00+00:00,BTC,SHORT,63232.7,63466.991,62842.215,78.097,0.07788174518216019
2026-08-16T16:00:00+00:00,ETH,SHORT,1888.59,1898.5743,1871.9495,3.3281,2.762914742234025
2026-08-16T20:00:00+00:00,SOL,LONG,74.99,74.323,76.1016,0.2223,68.17641297458503
2026-08-16T21:00:00+00:00,BTC,LONG,62900.0,62580.9802,63431.6997,106.3399,0.07851982452533832
2026-08-16T21:00:00+00:00,ETH,LONG,1874.59,1860.7433,1897.6678,4.6156,2.7952577959297207
2026-08-16T21:00:00+00:00,SOL,LONG,74.3,73.4514,75.7144,0.2829,68.48983920966882
2026-08-16T21:00:00+00:00,BNB,LONG,605.6,601.2606,612.8323,1.4465,8.701116610075397
2026-08-16T22:00:00+00:00,XRP,LONG,0.9932,0.9834,1.0095,0.0033,5330.991530745368
2026-08-17T02:00:00+00:00,BTC,SHORT,63382.8,63883.7041,62547.9598,166.968,0.07823541229844108
2026-08-17T02:00:00+00:00,ETH,SHORT,1901.76,1923.1888,1866.0453,7.1429,2.7717282944350425
2026-08-17T15:00:00+00:00,BTC,SHORT,64169.8,64836.1204,63059.266,222.1068,0.07695504108788367
2026-08-18T13:00:00+00:00,BNB,LONG,602.0,597.1368,610.1053,1.6211,8.720045701791024
2026-08-18T14:00:00+00:00,BTC,SHORT,64683.6,65433.6749,63433.4752,250.025,0.07593205190766295
2026-08-18T14:00:00+00:00,SOL,SHORT,76.77,78.0225,74.6824,0.4175,66.90377476629655
2026-08-19T08:00:00+00:00,XRP,SHORT,1.0058,1.0182,0.9852,0.0041,5280.642865157766
2026-08-19T12:00:00+00:00,ETH,SHORT,1936.32,1961.6301,1894.1365,8.4367,2.7180838045012723
2026-08-19T12:00:00+00:00,SOL,SHORT,78.37,79.6675,76.2075,0.4325,64.99001026522714
2026-08-19T13:00:00+00:00,XRP,SHORT,1.0165,1.031,0.9923,0.0048,5191.851860638898
2026-08-19T14:00:00+00:00,BTC,SHORT,65895.5,66686.926,64576.4567,263.8087,0.07408841427005794
2026-08-19T14:00:00+00:00,ETH,SHORT,1969.89,2004.7238,1911.8336,11.6113,2.6537639552504437
2026-08-19T14:00:00+00:00,SOL,SHORT,80.84,82.6322,77.853,0.5974,62.47003951435959
2026-08-19T14:00:00+00:00,BNB,SHORT,610.2,615.6014,601.1977,1.8005,8.659045766604637
2026-08-19T14:00:00+00:00,XRP,SHORT,1.0327,1.0504,1.0033,0.0059,5072.885935955662
2026-08-19T15:00:00+00:00,BTC,SHORT,68524.9,70137.1884,65837.7527,537.4295,0.0708033586747275
2026-08-19T15:00:00+00:00,ETH,SHORT,2085.19,2151.8021,1974.1698,22.204,2.4843529408533804
2026-08-19T15:00:00+00:00,SOL,SHORT,81.81,83.9606,78.2256,0.7169,61.032594779458435
2026-08-19T15:00:00+00:00,BNB,SHORT,617.3,624.6513,605.0478,2.4504,8.519849069983497
2026-08-19T15:00:00+00:00,XRP,SHORT,1.0674,1.0932,1.0244,0.0086,4865.020087850132
