kol,coin,giris,cikis,R,pnl,neden,anahtar
donchian,ICP,2024-11-17 04:00:00+00:00,2024-11-17 20:00:00+00:00,-1.0202559008344498,-5.427761392439273,sl,donchian:ICP
squeeze,XLM,2024-11-18 01:00:00+00:00,2024-11-20 01:00:00+00:00,0.5064086746523794,2.6940941491506583,sure,squeeze:XLM
squeeze,XRP,2024-11-18 03:00:00+00:00,2024-11-20 03:00:00+00:00,-0.5641584365424132,-3.0013228824056384,sure,squeeze:XRP
donchian,NEAR,2024-11-16 00:00:00+00:00,2024-11-20 16:00:00+00:00,-1.0166488503448263,-5.408571883834476,sl,donchian:NEAR
donchian,ADA,2024-11-15 20:00:00+00:00,2024-11-20 20:00:00+00:00,1.1609114783625631,6.176049064888836,sure,donchian:ADA
donchian,BCH,2024-11-21 04:00:00+00:00,2024-11-21 12:00:00+00:00,-1.0216956349154593,-5.435420777750244,sl,donchian:BCH
donchian,SOL,2024-11-17 04:00:00+00:00,2024-11-22 04:00:00+00:00,1.4265314434801668,7.589147279314487,sure,donchian:SOL
squeeze,XLM,2024-11-21 22:00:00+00:00,2024-11-22 11:00:00+00:00,2.4725042594960653,13.153722660519067,tp,squeeze:XLM
donchian,ADA,2024-11-22 00:00:00+00:00,2024-11-23 00:00:00+00:00,2.4811438724793935,13.199685401590372,tp,donchian:ADA
bb,LTC,2024-11-23 00:00:00+00:00,2024-11-23 01:00:00+00:00,-1.0359577215403784,-5.511295078594813,sl,bb:LTC
bb,LTC,2024-11-23 01:00:00+00:00,2024-11-23 16:00:00+00:00,-1.0314612029268853,-5.487373599571029,sl,bb:LTC
donchian,ADA,2024-11-23 00:00:00+00:00,2024-11-24 12:00:00+00:00,-1.0179401740335678,-5.415441725858581,sl,donchian:ADA
donchian,BCH,2024-11-23 00:00:00+00:00,2024-11-24 12:00:00+00:00,-1.0202994860740715,-5.42799326591406,sl,donchian:BCH
donchian,BNB,2024-11-23 04:00:00+00:00,2024-11-24 12:00:00+00:00,-1.0448859600603932,-5.5587933075212925,sl,donchian:BNB
donchian,ICP,2024-11-22 12:00:00+00:00,2024-11-25 08:00:00+00:00,2.4767046970522952,13.17606898831821,tp,donchian:ICP
donchian,ICP,2024-11-25 08:00:00+00:00,2024-11-26 08:00:00+00:00,-1.0170229489602118,-5.410562088468327,sl,donchian:ICP
bb,LTC,2024-11-24 11:00:00+00:00,2024-11-26 11:00:00+00:00,-1.0247327059844298,-5.451577995837167,sl,bb:LTC
donchian,ETH,2024-11-21 12:00:00+00:00,2024-11-26 12:00:00+00:00,0.08261903149902826,0.4395332475748303,sure,donchian:ETH
donchian,NEAR,2024-11-23 04:00:00+00:00,2024-11-28 04:00:00+00:00,0.3340775514311509,1.777292573613723,sure,donchian:NEAR
squeeze,XLM,2024-11-27 08:00:00+00:00,2024-11-29 08:00:00+00:00,0.32776003627286504,1.743683392971642,sure,squeeze:XLM
bb,LTC,2024-12-01 15:00:00+00:00,2024-12-01 21:00:00+00:00,-1.0369661062095856,-5.516659685034996,sl,bb:LTC
squeeze,XRP,2024-12-01 19:00:00+00:00,2024-12-02 00:00:00+00:00,2.460895487497089,13.091963993484516,tp,squeeze:XRP
donchian,ETH,2024-11-27 12:00:00+00:00,2024-12-02 12:00:00+00:00,0.6523338310346888,3.4704159811045447,sure,donchian:ETH
donchian,NEAR,2024-12-02 20:00:00+00:00,2024-12-03 12:00:00+00:00,-1.0233280141455265,-5.444105035254202,sl,donchian:NEAR
donchian,BNB,2024-12-03 16:00:00+00:00,2024-12-04 00:00:00+00:00,2.462066421944686,13.098193364745729,tp,donchian:BNB
donchian,ICP,2024-12-01 12:00:00+00:00,2024-12-04 12:00:00+00:00,2.4734831911900783,13.158930577131216,tp,donchian:ICP
donchian,BNB,2024-12-04 00:00:00+00:00,2024-12-05 00:00:00+00:00,-1.031877552848505,-5.489588581154046,sl,donchian:BNB
donchian,ETH,2024-12-04 12:00:00+00:00,2024-12-05 20:00:00+00:00,-1.0441823164578683,-5.55504992355586,sl,donchian:ETH
squeeze,XRP,2024-12-06 02:00:00+00:00,2024-12-06 22:00:00+00:00,-1.0287618903037647,-5.473013256416029,sl,squeeze:XRP
squeeze,XLM,2024-12-06 02:00:00+00:00,2024-12-07 01:00:00+00:00,-1.0372131036049859,-5.5179737111785245,sl,squeeze:XLM
donchian,ADA,2024-12-02 12:00:00+00:00,2024-12-07 12:00:00+00:00,0.09528275737181044,0.5069042692180316,sure,donchian:ADA
donchian,BCH,2024-12-03 20:00:00+00:00,2024-12-08 20:00:00+00:00,0.7036088291815262,3.74319897124572,sure,donchian:BCH
squeeze,XRP,2024-12-07 16:00:00+00:00,2024-12-09 03:00:00+00:00,-1.0478213373502803,-5.574409514703491,sl,squeeze:XRP
bb,LTC,2024-12-07 17:00:00+00:00,2024-12-09 07:00:00+00:00,-1.0351385873091206,-5.506937284484521,sl,bb:LTC
donchian,NEAR,2024-12-05 12:00:00+00:00,2024-12-09 08:00:00+00:00,-1.021537845420937,-5.434581337639385,sl,donchian:NEAR
donchian,ETH,2024-12-06 12:00:00+00:00,2024-12-09 16:00:00+00:00,-1.0347844110948023,-5.505053067024348,sl,donchian:ETH
donchian,BCH,2024-12-10 12:00:00+00:00,2024-12-12 00:00:00+00:00,-1.0176101976152891,-5.413686251313338,sl,donchian:BCH
squeeze,XLM,2024-12-14 13:00:00+00:00,2024-12-15 11:00:00+00:00,-1.0505960409876602,-5.589170938054353,sl,squeeze:XLM
bb,LTC,2024-12-14 13:00:00+00:00,2024-12-16 13:00:00+00:00,-0.32845382107575327,-1.7473743281230074,sure,bb:LTC
donchian,ETH,2024-12-16 16:00:00+00:00,2024-12-17 20:00:00+00:00,-1.04729720772799,-5.571621145112907,sl,donchian:ETH
donchian,NEAR,2024-12-18 00:00:00+00:00,2024-12-19 16:00:00+00:00,2.4767711943486135,13.176422753934625,tp,donchian:NEAR
donchian,BCH,2024-12-18 16:00:00+00:00,2024-12-19 16:00:00+00:00,2.469768821118158,13.139170128348601,tp,donchian:BCH
donchian,ICP,2024-12-18 04:00:00+00:00,2024-12-20 08:00:00+00:00,2.4754434426867844,13.169359115093693,tp,donchian:ICP
donchian,ADA,2024-12-18 20:00:00+00:00,2024-12-20 08:00:00+00:00,2.477946539449921,13.182675589873579,tp,donchian:ADA
donchian,SOL,2024-12-18 20:00:00+00:00,2024-12-20 08:00:00+00:00,2.469170076615386,13.135984807593855,tp,donchian:SOL
donchian,ADA,2024-12-20 08:00:00+00:00,2024-12-20 12:00:00+00:00,-1.0135077984813914,-5.391861487921003,sl,donchian:ADA
donchian,ICP,2024-12-20 08:00:00+00:00,2024-12-20 12:00:00+00:00,-1.0132033317569658,-5.3902417249470576,sl,donchian:ICP
donchian,SOL,2024-12-20 08:00:00+00:00,2024-12-20 16:00:00+00:00,-1.0192111271281066,-5.422203196321527,sl,donchian:SOL
donchian,BCH,2024-12-19 16:00:00+00:00,2024-12-21 04:00:00+00:00,-1.0199320691242246,-5.426038607740875,sl,donchian:BCH
donchian,BNB,2024-12-19 16:00:00+00:00,2024-12-21 04:00:00+00:00,-1.0351606803643278,-5.507054819538224,sl,donchian:BNB
donchian,NEAR,2024-12-19 16:00:00+00:00,2024-12-23 20:00:00+00:00,-1.0163168001507,-5.4068053768017235,sl,donchian:NEAR
squeeze,XRP,2024-12-23 00:00:00+00:00,2024-12-23 21:00:00+00:00,-1.050355804523118,-5.587892880062988,sl,squeeze:XRP
donchian,ETH,2024-12-19 16:00:00+00:00,2024-12-24 16:00:00+00:00,-0.15671204883900888,-0.8337080998235273,sure,donchian:ETH
squeeze,XRP,2024-12-27 21:00:00+00:00,2024-12-28 22:00:00+00:00,-1.0631852968808009,-5.656145779405861,sl,squeeze:XRP
squeeze,XLM,2024-12-27 12:00:00+00:00,2024-12-29 12:00:00+00:00,0.8701410468401009,4.629150369189337,sure,squeeze:XLM
donchian,BNB,2024-12-28 12:00:00+00:00,2024-12-29 20:00:00+00:00,-1.0494369514303457,-5.583004581609439,sl,donchian:BNB
bb,LTC,2024-12-29 17:00:00+00:00,2024-12-31 13:00:00+00:00,1.6073978065439671,8.551356330813906,tp,bb:LTC
donchian,ADA,2024-12-30 12:00:00+00:00,2025-01-01 16:00:00+00:00,-1.0295336406623232,-5.47711896832356,sl,donchian:ADA
donchian,ICP,2024-12-30 12:00:00+00:00,2025-01-01 16:00:00+00:00,-1.0276427110295179,-5.467059222677035,sl,donchian:ICP
donchian,NEAR,2024-12-30 12:00:00+00:00,2025-01-01 20:00:00+00:00,-1.0312206536239206,-5.486093877279258,sl,donchian:NEAR
donchian,ADA,2025-01-02 08:00:00+00:00,2025-01-03 16:00:00+00:00,2.4681810462070204,13.130723165821347,tp,donchian:ADA
squeeze,DOGE,2025-01-03 12:00:00+00:00,2025-01-03 16:00:00+00:00,2.4196504808123174,12.872540557921528,tp,squeeze:DOGE
donchian,ICP,2025-01-03 00:00:00+00:00,2025-01-04 00:00:00+00:00,2.4650906203041987,13.114282100018336,tp,donchian:ICP
squeeze,XLM,2025-01-03 03:00:00+00:00,2025-01-05 03:00:00+00:00,-0.4009841443252961,-2.1332356478105754,sure,squeeze:XLM
donchian,SOL,2025-01-02 08:00:00+00:00,2025-01-07 08:00:00+00:00,0.5490379873232865,2.920882092559884,sure,donchian:SOL
donchian,ETH,2025-01-03 12:00:00+00:00,2025-01-07 12:00:00+00:00,-1.058240538546193,-5.629839665065747,sl,donchian:ETH
donchian,NEAR,2025-01-03 12:00:00+00:00,2025-01-07 12:00:00+00:00,-1.0381873557713326,-5.523156732703489,sl,donchian:NEAR
donchian,BNB,2025-01-06 12:00:00+00:00,2025-01-07 12:00:00+00:00,-1.0899525689093414,-5.798547666597696,sl,donchian:BNB
donchian,ADA,2025-01-07 08:00:00+00:00,2025-01-07 12:00:00+00:00,-1.0351792668977526,-5.507153699896044,sl,donchian:ADA
bb,LTC,2025-01-05 21:00:00+00:00,2025-01-07 14:00:00+00:00,1.6002834100832941,8.513507741643124,tp,bb:LTC
donchian,ADA,2025-01-08 16:00:00+00:00,2025-01-11 20:00:00+00:00,-1.0210245079032119,-5.431850382045087,sl,donchian:ADA
squeeze,TRX,2025-01-12 03:00:00+00:00,2025-01-12 10:00:00+00:00,2.2761984487513627,5.174043921414119,tp,squeeze:TRX
donchian,BCH,2025-01-08 04:00:00+00:00,2025-01-12 12:00:00+00:00,-1.0402873275518072,-5.534328582575615,sl,donchian:BCH
donchian,BNB,2025-01-07 16:00:00+00:00,2025-01-12 16:00:00+00:00,-0.07315089988143299,-0.38916278736922355,sure,donchian:BNB
bb,LTC,2025-01-11 22:00:00+00:00,2025-01-13 03:00:00+00:00,1.5958225056544177,8.489775730081503,tp,bb:LTC
donchian,ETH,2025-01-08 16:00:00+00:00,2025-01-13 12:00:00+00:00,2.4581268398921807,13.0772347882264,tp,donchian:ETH
donchian,NEAR,2025-01-08 16:00:00+00:00,2025-01-13 16:00:00+00:00,1.4311498661042323,7.6137172876745165,sure,donchian:NEAR
donchian,BNB,2025-01-13 08:00:00+00:00,2025-01-13 16:00:00+00:00,-1.064373129858495,-5.662465050847194,sl,donchian:BNB
donchian,BCH,2025-01-13 08:00:00+00:00,2025-01-13 20:00:00+00:00,-1.0326344896386703,-5.493615484877726,sl,donchian:BCH
donchian,ETH,2025-01-13 12:00:00+00:00,2025-01-14 08:00:00+00:00,-1.03729043388654,-5.5183851082763935,sl,donchian:ETH
donchian,SOL,2025-01-09 20:00:00+00:00,2025-01-14 20:00:00+00:00,-0.2783029657120389,-1.480571777588047,sure,donchian:SOL
donchian,ICP,2025-01-13 00:00:00+00:00,2025-01-15 12:00:00+00:00,-1.0284130862835867,-5.4711576190286815,sl,donchian:ICP
donchian,ETH,2025-01-15 20:00:00+00:00,2025-01-16 08:00:00+00:00,-1.0415182846413142,-5.540877274291792,sl,donchian:ETH
donchian,SOL,2025-01-15 16:00:00+00:00,2025-01-18 00:00:00+00:00,2.4631829743286007,13.104133423428156,tp,donchian:SOL
donchian,SOL,2025-01-18 04:00:00+00:00,2025-01-18 16:00:00+00:00,2.4700694160451113,13.140769293359993,tp,donchian:SOL
donchian,BNB,2025-01-15 12:00:00+00:00,2025-01-19 08:00:00+00:00,-1.0651617173896868,-5.666660336513134,sl,donchian:BNB
donchian,BCH,2025-01-16 16:00:00+00:00,2025-01-19 08:00:00+00:00,-1.0388077861706013,-5.526457422427599,sl,donchian:BCH
donchian,NEAR,2025-01-17 08:00:00+00:00,2025-01-19 08:00:00+00:00,-1.0300548706279715,-5.4798919117408085,sl,donchian:NEAR
squeeze,DOGE,2025-01-19 08:00:00+00:00,2025-01-19 15:00:00+00:00,-1.0380559774299907,-5.52245779992755,sl,squeeze:DOGE
donchian,ADA,2025-01-15 04:00:00+00:00,2025-01-19 20:00:00+00:00,-1.0265110987779387,-5.461039045498634,sl,donchian:ADA
donchian,SOL,2025-01-19 04:00:00+00:00,2025-01-19 20:00:00+00:00,-1.0210529958061376,-5.432001937688653,sl,donchian:SOL
bb,LTC,2025-01-19 04:00:00+00:00,2025-01-19 22:00:00+00:00,-1.029804953537452,-5.478562352819245,sl,bb:LTC
squeeze,XLM,2025-01-23 03:00:00+00:00,2025-01-23 16:00:00+00:00,-1.061292988270645,-5.646078697599831,sl,squeeze:XLM
bb,LTC,2025-01-26 23:00:00+00:00,2025-01-27 05:00:00+00:00,-1.05146663387356,-5.59380249220734,sl,bb:LTC
donchian,ICP,2025-01-22 16:00:00+00:00,2025-01-27 16:00:00+00:00,0.8096095756944875,4.307122942694674,sure,donchian:ICP
donchian,BCH,2025-01-27 04:00:00+00:00,2025-01-27 20:00:00+00:00,-1.0340411384915067,-5.501098856774816,sl,donchian:BCH
donchian,ETH,2025-01-27 04:00:00+00:00,2025-01-27 20:00:00+00:00,-1.039023719018287,-5.527606185177286,sl,donchian:ETH
donchian,BNB,2025-01-26 20:00:00+00:00,2025-01-28 00:00:00+00:00,-1.0843743800614642,-5.76887170192699,sl,donchian:BNB
donchian,ADA,2025-01-27 00:00:00+00:00,2025-01-30 12:00:00+00:00,-1.0327080052966824,-5.49400658817835,sl,donchian:ADA
donchian,NEAR,2025-01-26 20:00:00+00:00,2025-01-31 20:00:00+00:00,0.4555751484080691,2.4236597895309275,sure,donchian:NEAR
donchian,ETH,2025-01-31 12:00:00+00:00,2025-01-31 20:00:00+00:00,-1.043139536805321,-5.549502335804307,sl,donchian:ETH
bb,LTC,2025-02-01 08:00:00+00:00,2025-02-02 00:00:00+00:00,-1.0338458638789114,-5.500059995835809,sl,bb:LTC
donchian,BCH,2025-02-02 00:00:00+00:00,2025-02-02 20:00:00+00:00,2.4652133098944278,13.114934808638356,tp,donchian:BCH
donchian,SOL,2025-02-01 20:00:00+00:00,2025-02-03 00:00:00+00:00,2.4696458337107847,13.138515835341376,tp,donchian:SOL
donchian,NEAR,2025-02-02 00:00:00+00:00,2025-02-03 00:00:00+00:00,2.474518023105344,13.16443588292043,tp,donchian:NEAR
donchian,ADA,2025-02-02 16:00:00+00:00,2025-02-03 00:00:00+00:00,2.4766118427721793,13.175575003547994,tp,donchian:ADA
donchian,BNB,2025-02-02 16:00:00+00:00,2025-02-03 00:00:00+00:00,2.4477193931655936,13.02186717164096,tp,donchian:BNB
donchian,ETH,2025-02-02 16:00:00+00:00,2025-02-03 00:00:00+00:00,2.46668259105498,13.122751384412494,tp,donchian:ETH
donchian,ICP,2025-02-02 16:00:00+00:00,2025-02-03 00:00:00+00:00,2.479248952495439,13.189604427275736,tp,donchian:ICP
donchian,ADA,2025-02-03 00:00:00+00:00,2025-02-03 12:00:00+00:00,-1.0111445536168748,-5.379289025241774,sl,donchian:ADA
donchian,BNB,2025-02-03 00:00:00+00:00,2025-02-03 12:00:00+00:00,-1.0250945352774554,-5.453502927676063,sl,donchian:BNB
donchian,BCH,2025-02-03 00:00:00+00:00,2025-02-03 16:00:00+00:00,-1.014083160895468,-5.394922415963889,sl,donchian:BCH
donchian,ICP,2025-02-03 00:00:00+00:00,2025-02-03 16:00:00+00:00,-1.0120622648573794,-5.384171249041258,sl,donchian:ICP
donchian,NEAR,2025-02-03 00:00:00+00:00,2025-02-03 16:00:00+00:00,-1.0116981440008468,-5.382234126084505,sl,donchian:NEAR
donchian,ETH,2025-02-03 00:00:00+00:00,2025-02-03 20:00:00+00:00,-1.0160487977823778,-5.40537960420225,sl,donchian:ETH
bb,LTC,2025-02-09 03:00:00+00:00,2025-02-10 00:00:00+00:00,-1.0546417523491396,-5.6106941224974225,sl,bb:LTC
squeeze,XRP,2025-02-11 05:00:00+00:00,2025-02-11 13:00:00+00:00,-1.07110524437318,-5.698279900065318,sl,squeeze:XRP
donchian,BNB,2025-02-12 12:00:00+00:00,2025-02-17 12:00:00+00:00,0.32973395980350945,1.7541846661546703,sure,donchian:BNB
bb,LTC,2025-02-16 15:00:00+00:00,2025-02-17 16:00:00+00:00,-1.0363048542410682,-5.513141824562482,sl,bb:LTC
squeeze,DOGE,2025-02-16 17:00:00+00:00,2025-02-18 06:00:00+00:00,2.4167156163261527,12.856927078855133,tp,squeeze:DOGE
