coin,kol,yon,cikis,bar,giris,tf,adx14,atr_pct,atr_norm,er20,er50,kanal_konum,kanal_atr,ic_oran40,rvol20,ema200_atr,get20,btc_adx,btc_er20,btc_get20,btc_atr_pct,btc_ic40,R,slp,cikis_ts,eff,pnl_pct,ay,fund,f_yon,f_z,fz_yon,giris_ts,chop
ADA,donchian,-1,sure,30,2025-03-09 12:00:00+00:00,4h,28.88292447947763,0.0559728268919301,1.0395552255524363,0.5258148254975485,0.0733973755258366,0.0132137800849458,10.01525278800654,0.975,0.0238989180227201,-1.3091580040893211,-0.1942875412980923,21.321499264534783,0.5027197668771254,-0.0906875709797144,0.0219071907298255,1.0,0.1943592379180775,0.1119456537838602,2025-03-14 12:00:00+00:00,0.028,0.5442058661706172,2025-03,5.698e-05,-5.698e-05,-0.1244452243665479,0.1244452243665479,2025-03-09 12:00:00+00:00,43.982349985923896
ICP,donchian,-1,sure,30,2025-03-09 16:00:00+00:00,4h,30.15999265356654,0.0337036113700795,0.890332807618765,0.5684596577017116,0.1776184786937475,0.0713033313851548,9.26050221508532,0.975,0.0141323263212008,-7.984852358046233,-0.1450405489706799,23.04846883317949,0.5159592419138066,-0.0954290006920779,0.0217865024617296,1.0,-0.5198448678287302,0.0674072227401591,2025-03-14 16:00:00+00:00,0.028,-1.4555656299204447,2025-03,-7.957e-05,7.957e-05,-0.9162598164113432,0.9162598164113432,2025-03-09 16:00:00+00:00,32.565386559633424
XRP,squeeze,1,tp,29,2025-03-13 23:00:00+00:00,1h,22.32994155643451,0.0180853142280381,0.8430274862012053,0.0279495424189954,0.0561314296890277,0.5567542213883677,5.2370370506089285,0.925,0.0111573307505584,-0.3413080524137126,0.0050453185694512,16.026633496924205,0.3089621452694207,-0.0293497986525763,0.0097334420930047,0.95,2.494470651781933,0.0361706284560762,2025-03-15 04:00:00+00:00,0.028,6.984517824989414,2025-03,-6.634e-05,-6.634e-05,-1.1702341541168344,-1.1702341541168344,2025-03-13 23:00:00+00:00,59.639972255582855
ETH,donchian,-1,sure,30,2025-03-10 16:00:00+00:00,4h,25.08662273972757,0.0431771464102549,1.0706186850899475,0.442407918658676,0.1726906129238766,0.1171344078651025,6.3301548879809975,0.975,0.0246732035115006,-7.780691373943448,-0.1495470478444939,32.81133843399419,0.5808270014444936,-0.1112305574796916,0.0278729624618749,0.95,-0.422706459837162,0.0863542928205098,2025-03-15 16:00:00+00:00,0.028,-1.1835780875440536,2025-03,3.433e-05,-3.433e-05,-0.4988669491357216,0.4988669491357216,2025-03-10 16:00:00+00:00,35.75737860309968
DOGE,squeeze,1,sl,13,2025-03-15 13:00:00+00:00,1h,33.88032645161156,0.0107662288981774,0.614043420176109,0.3281162660704324,0.1347150259067362,0.9792674498963376,7.580470927958864,0.95,0.0062125222959643,0.4891284701019056,0.0342413813218223,21.024743940570712,0.0252953073247951,0.0010234819734344,0.005257876666369,0.975,-1.009288303355408,0.0215324577963548,2025-03-16 02:00:00+00:00,0.028,-2.826007249395142,2025-03,3.265e-05,3.265e-05,-0.3591183745623302,-0.3591183745623302,2025-03-15 13:00:00+00:00,50.64164284626787
BNB,donchian,1,sl,3,2025-03-15 20:00:00+00:00,4h,36.64801542278236,0.0172273420405627,0.8347792473085146,0.7258291023009604,0.0557013916358009,0.9992914710831632,10.578662453949692,0.95,0.0081130390131817,1.1794969820763852,0.1216394807828085,16.27673880612635,0.211517612983608,0.0320044657394054,0.0145783486086552,0.95,-1.0058047259852725,0.0344546840811255,2025-03-16 08:00:00+00:00,0.028,-2.816253232758763,2025-03,0.0,0.0,0.060427358375363,0.060427358375363,2025-03-15 20:00:00+00:00,32.740599753434054
LTC,bb,-1,sure,48,2025-03-15 09:00:00+00:00,1h,27.49273271542541,0.0105816208347004,0.7162657330180087,0.223762376237623,0.165419783873649,0.9316353887399458,7.565146107861223,0.975,0.0064182097442744,-1.832726884273005,0.0248542835147915,24.973008160075523,0.0812870262294341,0.0044172751240749,0.0057826900927568,0.975,-0.131378161689101,0.0317433509092874,2025-03-17 09:00:00+00:00,0.028,-0.3678588527294829,2025-03,6.566e-05,-6.566e-05,-0.0841075034353006,0.0841075034353006,2025-03-15 09:00:00+00:00,57.09343235882735
ADA,donchian,-1,sl,5,2025-03-18 12:00:00+00:00,4h,14.047212477731778,0.026139676656478,0.4056176404035108,0.3338088445078464,0.1177412895474567,0.0639999999999993,4.875330284813768,0.975,0.0139620788639009,-4.86154211877378,-0.0638123806926643,11.76488101862454,0.2397750126367188,-0.0266059644140005,0.0152016615771553,1.0,-1.0038256020269178,0.052279353312956,2025-03-19 08:00:00+00:00,0.028,-2.81071168567537,2025-03,-0.0001023,0.0001023,-1.355995791983429,1.355995791983429,2025-03-18 12:00:00+00:00,53.11838295758142
XLM,squeeze,1,tp,12,2025-03-18 23:00:00+00:00,1h,20.890867522725685,0.0122206313066093,1.009641497488716,0.1946955997588916,0.0986673500768832,0.7298546895640696,4.534731089577962,1.0,0.0078701296789895,0.5486273917240074,0.0242183399565121,28.82516124777591,0.0666485474421707,-0.0053111869431917,0.0070469919486475,0.975,2.491817116686442,0.0244412626132187,2025-03-19 11:00:00+00:00,0.028,6.977087926722038,2025-03,-1.78e-06,-1.78e-06,-0.4733037021215918,-0.4733037021215918,2025-03-18 23:00:00+00:00,51.84224211757302
BNB,donchian,1,sure,30,2025-03-17 00:00:00+00:00,4h,36.12729625534467,0.0186797187374533,0.9300677703684626,0.407096720073819,0.0871119830395847,0.9686379928315412,10.50417720524895,0.925,0.0122426432060851,1.6077027843968057,0.0840914210462475,12.598380929277816,0.2964509035937612,0.0430404403558064,0.0155165349566557,0.975,0.1756203278464681,0.0373594374749067,2025-03-22 00:00:00+00:00,0.028,0.4917369179701109,2025-03,0.0,0.0,0.060427358375363,0.060427358375363,2025-03-17 00:00:00+00:00,44.38534454301936
