ts,symbol,oi,oi_usd,price,funding
2026-07-30T00:03:39+00:00,XLM,4551006.0,781908.34086,0.17181,-0.000129
2026-07-30T00:03:39+00:00,LTC,19141925.0,870000491.25,45.45,
2026-07-30T00:18:43+00:00,SOL,21138213.0,1558520444.49,73.73,2.3e-05
2026-07-30T00:18:43+00:00,ETH,102828843.0,196652964218.49002,1912.43,4e-05
2026-07-30T00:18:43+00:00,ADA,65476163.0,10639876.4875,0.1625,6.4e-05
2026-07-30T00:18:43+00:00,NEAR,6929644.0,11198304.704,1.616,3e-05
2026-07-30T00:18:43+00:00,BCH,8498436.0,1797249245.28,211.48,-6e-06
2026-07-30T00:18:43+00:00,ICP,242803143.0,503088112.296,2.072,-0.00017
2026-07-30T00:18:43+00:00,BNB,4289152.0,2461973248.0,574.0,7.2e-05
2026-07-30T00:18:43+00:00,XRP,55991574.0,60230136.15180001,1.0757,6.1e-05
2026-07-30T00:18:43+00:00,DOGE,5687552.0,400062.40768,0.07034,-7e-06
2026-07-30T00:18:43+00:00,TRX,1074886.0,350079.62133999995,0.32569,-8.1e-05
2026-07-30T00:18:43+00:00,XLM,4553790.0,783525.1074,0.17206,-0.000129
2026-07-30T00:18:43+00:00,LTC,18933315.0,856543170.6,45.24,-8e-06
2026-07-30T00:33:50+00:00,SOL,20900756.0,1538086634.04,73.59,2.2e-05
2026-07-30T00:33:50+00:00,ETH,101766132.0,193869569766.6,1905.05,3.7e-05
2026-07-30T00:33:50+00:00,ADA,65360781.0,10581910.443899998,0.1619,6.2e-05
2026-07-30T00:33:50+00:00,NEAR,6952967.0,11215135.771,1.613,3.2e-05
2026-07-30T00:33:50+00:00,BCH,8504176.0,1787067544.6399999,210.14,-7e-06
2026-07-30T00:33:50+00:00,ICP,242761298.0,501302080.37,2.065,-0.00018
2026-07-30T00:33:50+00:00,BNB,4356622.0,2495473081.6,572.8,7.3e-05
2026-07-30T00:33:50+00:00,XRP,55392352.0,59441532.9312,1.0731,6.1e-05
2026-07-30T00:33:50+00:00,DOGE,5670866.0,397867.95856,0.07016,-4e-06
2026-07-30T00:33:50+00:00,TRX,1065771.0,347089.64157000004,0.32567,-7.9e-05
2026-07-30T00:33:50+00:00,XLM,4530945.0,777600.7809,0.17162,-0.000127
2026-07-30T00:33:50+00:00,LTC,18966055.0,858403649.3,45.26,-1.4e-05
2026-07-30T00:48:52+00:00,SOL,21515878.0,1577759333.74,73.33,2.1e-05
